"site","Season","H2O_GF_overall_range","CO2_GF_overall_range","H2O_EC_overall_range","CO2_EC_overall_range"
"ABBY","Winter, Spring, Summer, Autumn","10.17 to 83.16",NA,"-20.53 to 128.58",NA
"BARR","Spring","-0.84 to 1.62",NA,"-0.37 to 1.42",NA
"BART","Winter, Spring, Summer, Autumn","13.65 to 119.08","-1.14 to 0.80","-9.36 to 173.44","-0.81 to 1.07"
"BLAN","Winter, Spring, Summer, Autumn","8.62 to 139.45","-1.17 to 0.76","-20.57 to 168.15","-1.07 to 0.78"
"BONA","Winter, Spring, Summer, Autumn","-2.70 to 51.60",NA,"-7.89 to 67.79",NA
"CPER","Winter, Spring, Summer, Autumn","-8.94 to 141.40","-0.57 to 0.27","-11.20 to 100.28","-0.45 to 0.27"
"DCFS","Winter, Spring, Summer, Autumn","-28.35 to 261.00","-1.16 to 0.52","-24.80 to 185.48","-1.03 to 0.73"
"DEJU","Winter, Spring, Summer, Autumn","2.00 to 74.94","-0.36 to 0.27","3.47 to 74.09","-0.38 to 0.35"
"DSNY","Winter, Spring, Summer, Autumn","-39.99 to 216.18",NA,"-18.85 to 180.61",NA
"GRSM","Winter, Spring, Summer, Autumn","-21.05 to 190.20","-1.10 to 1.39","-15.27 to 182.56","-1.38 to 1.42"
"GUAN","Winter, Spring, Summer, Autumn","-48.77 to 174.79",NA,"-24.66 to 100.78",NA
"HARV","Winter, Spring, Summer, Autumn","1.54 to 93.28",NA,"-7.04 to 190.71",NA
"HEAL","Winter, Spring, Summer, Autumn","-4.20 to 78.16",NA,"-2.36 to 70.59",NA
"JERC","Winter, Spring, Summer, Autumn","-51.20 to 150.79",NA,"-22.71 to 96.94",NA
"JORN","Winter, Spring, Summer, Autumn","-6.93 to 45.50","-0.16 to 0.05","-5.29 to 38.27","-0.07 to 0.04"
"KONA","Winter, Spring, Summer, Autumn","-36.36 to 260.92","-1.52 to 0.75","-30.83 to 185.10","-1.42 to 0.70"
"KONZ","Winter, Spring, Summer, Autumn","-31.38 to 257.90","-1.83 to 0.97","-29.95 to 191.93","-1.32 to 0.83"
"LAJA","Winter, Spring, Summer, Autumn","-11.62 to 204.04","-1.64 to 7.59","-34.12 to 209.82","-1.28 to 4.01"
"LENO","Winter, Spring, Summer, Autumn","-15.68 to 207.17","-2.55 to 0.78","-23.77 to 204.80","-1.59 to 0.73"
"MLBS","Winter, Spring, Summer, Autumn","9.86 to 88.68","-0.91 to 1.00","-22.23 to 142.97","-0.95 to 1.02"
"MOAB","Winter, Spring, Summer, Autumn","-1.92 to 65.99","-0.21 to 0.12","-8.32 to 62.72","-0.17 to 0.09"
"NIWO","Winter, Spring, Summer, Autumn","-3.59 to 158.59",NA,"-1.77 to 142.94",NA
"NOGP","Winter, Spring, Summer, Autumn","-21.81 to 189.36","-0.82 to 0.48","-26.72 to 168.27","-0.54 to 0.46"
"OAES","Winter, Spring, Summer, Autumn","-25.65 to 187.43","-0.76 to 0.48","-25.81 to 161.98","-0.83 to 0.49"
"ONAQ","Winter, Spring, Summer, Autumn","-4.45 to 62.82","-0.29 to 0.23","-10.85 to 67.04","-0.09 to 0.07"
"ORNL","Winter, Spring, Summer, Autumn","11.59 to 180.79","-0.90 to 0.76","-38.55 to 254.99","-0.96 to 0.44"
"OSBS","Winter, Spring, Summer, Autumn","-15.49 to 74.98",NA,"-19.34 to 147.39",NA
"SCBI","Winter, Spring, Summer, Autumn","-19.07 to 175.86","-1.13 to 0.81","-36.22 to 189.39","-0.96 to 0.63"
"SERC","Winter, Spring, Summer, Autumn","-14.60 to 98.82","-1.00 to 0.84","-16.41 to 160.42","-0.92 to 0.78"
"SJER","Winter, Spring, Summer, Autumn","-2.84 to 73.53","-0.28 to 0.45","-8.61 to 99.21","-0.45 to 0.44"
"SOAP","Winter, Spring, Summer, Autumn","-16.40 to 78.36","-0.20 to 0.37","-20.82 to 85.02","-0.31 to 0.20"
"SRER","Winter, Spring, Summer, Autumn","-1.35 to 40.84","-0.16 to 0.07","-1.77 to 56.80","-0.15 to 0.07"
"STEI","Winter, Spring, Summer, Autumn","1.64 to 103.04","-1.09 to 0.62","-21.95 to 147.42","-1.28 to 0.73"
"STER","Winter, Spring, Summer, Autumn","-8.83 to 147.76","-0.90 to 0.40","-5.18 to 92.50","-0.74 to 0.36"
"TALL","Winter, Spring, Summer, Autumn","-22.46 to 137.78","-0.62 to 0.66","-44.87 to 217.84","-1.01 to 0.67"
"TEAK","Winter, Spring, Summer, Autumn","-87.00 to 248.79",NA,"-37.05 to 156.75",NA
"TOOL","Winter, Spring, Summer, Autumn","-3.89 to 84.22",NA,"-3.38 to 54.63",NA
"TREE","Winter, Spring, Summer, Autumn","-0.37 to 100.69","-0.82 to 0.63","-15.64 to 141.73","-1.20 to 0.62"
"UKFS","Winter, Spring, Summer, Autumn","2.79 to 101.44","-1.35 to 0.60","-19.25 to 213.79","-1.24 to 0.77"
"UNDE","Winter, Spring, Summer, Autumn","0.45 to 68.77","-0.80 to 0.52","-12.12 to 143.69","-0.99 to 0.52"
"WOOD","Winter, Spring, Summer, Autumn","-16.42 to 172.97","-0.76 to 0.56","-15.83 to 138.38","-0.73 to 0.55"
"WREF","Winter, Spring, Summer, Autumn","-8.71 to 103.59","-1.38 to 1.26","-24.04 to 119.80","-0.75 to 0.43"
"YELL","Winter, Spring, Summer, Autumn","-4.08 to 78.98","-0.33 to 0.73","-4.17 to 97.51","-0.53 to 0.43"
