"Site","gas","Method","n","mean_flux","median_flux","sd_flux"
"BART","CO2","EC",269,0.755413389020822,1.4108965652376,7.17531577301671
"BART","CO2","GF",286,0.90511347789556,2.03697968421124,9.27864552740617
"BLAN","CO2","EC",316,-0.455393892005904,1.81018225734013,7.21972347877792
"BLAN","CO2","GF",267,-1.68990251284461,1.07537150824447,9.34161249434892
"BONA","CO2","EC",170,0.537281707194357,0.413360242172007,3.35459787328062
"BONA","CO2","GF",171,-0.818572357016016,-0.354102991031446,5.09343115905587
"CLBJ","CO2","EC",87,3.02834574988593,1.50821680977864,16.0638172864765
"CLBJ","CO2","GF",104,5.84166990859552,1.13237350447152,23.8675440921515
"CPER","CO2","EC",1019,-0.176281140199624,0.480569510845857,3.12260781469445
"CPER","CO2","GF",1246,-0.198428998698671,0.637502818187492,40.1236852080142
"DCFS","CO2","EC",3794,-0.146252310803375,0.977539607694982,5.93600066375462
"DCFS","CO2","GF",3527,-1.61925951008251,0.40494952391943,8.60608762261594
"DEJU","CO2","EC",737,0.322128042649886,0.48499862857352,3.32203932584823
"DEJU","CO2","GF",706,0.544136562865814,0.287102086904865,5.8872085074552
"DSNY","CO2","EC",106,3.24005901609976,2.28999213141618,9.62543427421648
"DSNY","CO2","GF",94,1.20474840032222,1.24070799950013,6.57488834439668
"GRSM","CO2","EC",843,3.07754190061275,4.27478310560917,9.982872706431
"GRSM","CO2","GF",764,2.43340679590706,4.05940341050735,13.4029473170861
"HEAL","CO2","EC",82,1.07329074794014,1.19685598091964,2.34933082010494
"HEAL","CO2","GF",57,-0.10429903676929,0.171071430928702,2.42561672333305
"JERC","CO2","EC",117,1.92426208341791,2.36947345086158,6.18525055726549
"JERC","CO2","GF",131,0.700811190515669,2.02454010283746,9.64039040825415
"JORN","CO2","EC",887,-0.217832298953711,0.205650560114124,1.82380764024844
"JORN","CO2","GF",223,-0.104887695926771,-0.0393326363226467,1.76436387961865
"KONA","CO2","EC",5230,-1.09284689521248,0.891118872129646,8.1074735017577
"KONA","CO2","GF",5667,-1.14395482681976,0.813976533118112,10.7448730408924
"KONZ","CO2","EC",7161,-1.67421420674146,0.886591481899289,8.25035748649736
"KONZ","CO2","GF",7182,-3.39992526156379,0.857773412610603,11.2473865332187
"LAJA","CO2","EC",3395,-3.91721852318844,-4.78402709956142,12.9988527277485
"LAJA","CO2","GF",2898,-7.80141094214212,-9.67401173019628,19.6151266246063
"LENO","CO2","EC",172,0.679631224932069,1.77310445102939,7.52928831108941
"LENO","CO2","GF",245,0.607734388155983,1.75043278787693,17.5000359126129
"MLBS","CO2","EC",179,1.67003774069475,2.23461936595942,4.79017461296906
"MLBS","CO2","GF",151,3.10008065134536,2.57915388735453,7.81898397284947
"MOAB","CO2","EC",2752,-0.197408838464914,0.201476702677811,1.2851949677676
"MOAB","CO2","GF",2598,-0.308512578369522,0.22548814340059,2.20172115021659
"NIWO","CO2","EC",36,0.216364440841684,0.813533672926172,2.50320319071691
"NIWO","CO2","GF",30,7.72811525671073,1.14728337743483,23.0571545076176
"NOGP","CO2","EC",3639,-0.792533029684532,0.445426326360558,4.18136067421538
"NOGP","CO2","GF",3883,-2.12958858309485,-0.16577795387305,7.1505041231587
"OAES","CO2","EC",2961,-0.212603975579396,1.11221835211277,5.21636303940003
"OAES","CO2","GF",3018,-0.589473401036364,1.19980373386978,6.643833590285
"ONAQ","CO2","EC",675,-0.058209735982561,0.275136303004991,1.45767807266111
"ONAQ","CO2","GF",724,0.13517419178568,0.229145512010312,2.80007922451337
"ORNL","CO2","EC",1080,2.18679388572625,2.28265869916315,6.25957411138425
"ORNL","CO2","GF",690,2.84130769998379,2.10240629900637,12.4985633210292
"RMNP","CO2","EC",80,1.63095083011588,1.30196322315572,3.55837568703344
"RMNP","CO2","GF",66,2.61041468082718,2.34550323682485,6.70034366147066
"SCBI","CO2","EC",510,2.04556836041635,2.63003746877272,6.74447504863103
"SCBI","CO2","GF",497,2.28897298192422,2.11337582339974,11.2018220199957
"SERC","CO2","EC",838,1.78223425774606,2.40247907597722,6.50941642072256
"SERC","CO2","GF",825,0.522934302036336,1.37715212026519,10.3212792232214
"SJER","CO2","EC",279,1.65718875280103,1.62587718052951,4.59755764884463
"SJER","CO2","GF",308,2.43528721055902,2.10255151312515,8.81853513249741
"SOAP","CO2","EC",1368,0.43603593538485,0.416061381462849,3.80598364265884
"SOAP","CO2","GF",1756,1.04975453845647,1.07256647815243,5.41301042952679
"SRER","CO2","EC",546,0.0637334923632223,0.376601237937194,1.04564296888879
"SRER","CO2","GF",3413,0.412535401526129,0.49450986724578,2.59237426399933
"STEI","CO2","EC",670,-0.178707870518257,1.23337130916051,6.48378516873907
"STEI","CO2","GF",676,-1.0343366635793,0.784368721538504,7.80405668573798
"STER","CO2","EC",2189,-0.431838449755249,0.698653089549417,4.4042367013672
"STER","CO2","GF",2323,-0.863825695350593,0.68039422950041,5.88794256026709
"TALL","CO2","EC",530,-0.211959679920838,1.94178063771207,6.77936377058757
"TALL","CO2","GF",498,0.580750316989457,2.59309945396872,6.31097618819179
"TREE","CO2","EC",629,0.157186273126196,1.23933566885618,6.85785830268832
"TREE","CO2","GF",602,0.948821259756189,1.10583991308973,10.3018504360998
"UKFS","CO2","EC",902,0.782323292233685,2.4437620979051,7.67493796959176
"UKFS","CO2","GF",913,-0.698629060480726,1.37897803558019,13.7393695429554
"UNDE","CO2","EC",759,0.231448598733281,1.55783698389479,5.85791283540377
"UNDE","CO2","GF",707,-0.576362056165343,0.585686649151656,10.6710319235971
"WOOD","CO2","EC",3175,-0.382286523331353,0.767435090142276,4.87263313477802
"WOOD","CO2","GF",3043,-1.33586145503512,0.449641718103275,6.44548408791972
"WREF","CO2","EC",193,-0.703174115451453,0.33166963149627,7.22605187274486
"WREF","CO2","GF",214,1.00340093836082,0.706672226006405,16.6595744634761
"YELL","CO2","EC",445,0.465075805531629,0.986682914516713,3.82114241296807
"YELL","CO2","GF",342,1.26460475523434,0.962175603759508,5.55917687572761
"ABBY","H2O","EC",3209,1.41475510979818,0.966452867361387,1.42613519218496
"ABBY","H2O","GF",2735,1.4018683548596,1.12605550740813,1.23276335218333
"BARR","H2O","EC",193,0.0303126210641587,0.020980145041162,0.130982312654898
"BARR","H2O","GF",201,0.0165573801080009,0.00181779226719098,0.166337729063648
"BART","H2O","EC",10310,1.58813258860968,0.699159857493707,1.95625999058102
"BART","H2O","GF",9216,1.64320106283071,1.18684744462949,1.68142213085526
"BLAN","H2O","EC",6618,1.21472264792836,0.527362318423088,1.67785820012104
"BLAN","H2O","GF",4535,1.75939782859597,1.21011924321924,2.01588736409727
"BONA","H2O","EC",9540,0.528491359029876,0.206800441295158,0.755303778130146
"BONA","H2O","GF",8812,0.51629149347551,0.314714939114174,0.789958017153715
"CPER","H2O","EC",8816,0.707488507403285,0.314576848726485,1.06379281720235
"CPER","H2O","GF",8526,0.926918591449204,0.425616516999138,1.64715698646297
"DCFS","H2O","EC",11091,0.96621391505602,0.250679797240468,1.75176093210314
"DCFS","H2O","GF",10845,1.50715559705676,0.538679686037406,2.61871805910443
"DEJU","H2O","EC",5106,0.664819476013239,0.401765412423102,0.838450101351226
"DEJU","H2O","GF",4907,0.770654616987007,0.479012660482718,1.15884935778944
"DSNY","H2O","EC",6304,1.41108117234584,0.633669402043726,1.84806942281417
"DSNY","H2O","GF",6004,1.60399927052762,0.678356394311469,2.83242398566249
"GRSM","H2O","EC",1647,1.14250158193725,0.59717344370302,1.81191522635131
"GRSM","H2O","GF",1949,0.957031099966605,0.526568391228141,2.23879493869605
"GUAN","H2O","EC",1248,0.295096782661436,-0.00591165704250273,1.4280910334799
"GUAN","H2O","GF",1467,0.407444851761585,0.178603457749378,2.28742316812995
"HARV","H2O","EC",6255,1.51580608860938,0.514164047729884,2.10166965530784
"HARV","H2O","GF",5437,0.94423484535357,0.527488102739125,1.49891255101436
"HEAL","H2O","EC",2974,0.563278822903708,0.244484117381375,0.826338012949251
"HEAL","H2O","GF",3363,0.639484089911086,0.273210333506652,1.23004421645799
"JERC","H2O","EC",2276,0.584266995980268,0.212365010406061,1.23774855941567
"JERC","H2O","GF",2366,0.332794018276768,0.0794994615159338,1.6790266006422
"JORN","H2O","EC",2636,0.440291507576201,0.2656486400402,0.638431103381679
"JORN","H2O","GF",3477,0.450787289725719,0.253581933260083,0.875413747808323
"KONA","H2O","EC",12114,1.04719105205118,0.3381586667929,1.81632889991171
"KONA","H2O","GF",11233,1.47437196762857,0.532570695306769,2.82575479225684
"KONZ","H2O","EC",13943,1.25806058251037,0.41201170489201,1.94699043138425
"KONZ","H2O","GF",13701,1.7288511400468,0.648479058838197,2.82316301546846
"LAJA","H2O","EC",3974,3.58637322944374,3.56054797903718,2.34550208509797
"LAJA","H2O","GF",3938,3.2079580697326,3.00023380137602,2.93781402766294
"LENO","H2O","EC",734,1.68298873140267,0.804232839117124,2.22245480465928
"LENO","H2O","GF",570,1.74787358206887,0.846659373800197,3.0386274147741
"MLBS","H2O","EC",3940,0.922791792501785,0.404899788135949,1.35770092027635
"MLBS","H2O","GF",3565,0.910498693325607,0.656394309143235,0.987737115082881
"MOAB","H2O","EC",8548,0.612186568761492,0.339110117159401,0.7646293288561
"MOAB","H2O","GF",7781,0.71991772248953,0.465861600611099,0.877989841290937
"NIWO","H2O","EC",8311,1.28348526221456,0.803099935299572,1.43754383738326
"NIWO","H2O","GF",7565,1.32341317612566,0.83868983149334,1.8468712874284
"NOGP","H2O","EC",16370,1.20679608315119,0.339114457564478,1.83102322297069
"NOGP","H2O","GF",15846,1.47619765823424,0.580247257079622,2.25888860909677
"OAES","H2O","EC",13176,1.21030718906723,0.512195663034857,1.66670709951531
"OAES","H2O","GF",11800,1.46496235745327,0.710704470604146,2.44306939749406
"ONAQ","H2O","EC",7412,0.691981947843591,0.335099194212767,0.942066051630602
"ONAQ","H2O","GF",6766,0.716665171442614,0.436092890729623,1.03806272271228
"ORNL","H2O","EC",5444,1.42030170441805,0.396895134952963,2.54801150009252
"ORNL","H2O","GF",5189,1.66521479861804,0.909875545704127,2.53862824180743
"OSBS","H2O","EC",3240,1.16422965493798,0.472197896428293,1.64225754093246
"OSBS","H2O","GF",2164,0.593584881598562,0.500766176307407,1.35023349797047
"RMNP","H2O","EC",21,0.159534472930069,0.716902777513835,3.10756122124656
"RMNP","H2O","GF",24,-0.953088200860391,0.0594604016765876,6.35231364191753
"SCBI","H2O","EC",497,1.19667873397183,0.52330500491319,2.1216022023533
"SCBI","H2O","GF",510,0.800947402550277,0.355874385732762,2.41908733546017
"SERC","H2O","EC",825,0.890302097550018,0.376505203660633,1.54623347186812
"SERC","H2O","GF",838,0.683466780303218,0.318034374660892,1.88638984560186
"SJER","H2O","EC",4700,0.872857329951492,0.474961479555315,1.34480465459048
"SJER","H2O","GF",4852,0.509767966255934,0.283884713206581,1.14985713780558
"SOAP","H2O","EC",2299,1.14993601802734,0.850716032092709,1.56027057250986
"SOAP","H2O","GF",1795,0.628663242643165,0.213687397087129,1.93734848616399
"SRER","H2O","EC",4592,0.480202336685231,0.231875314032646,0.767148136942394
"SRER","H2O","GF",3510,0.402186415149446,0.184256689455147,0.833341138614947
"STEI","H2O","EC",8123,0.793852689064857,0.216817947142968,1.44350720993903
"STEI","H2O","GF",7242,0.849563944714664,0.451193765551103,1.28266838335597
"STER","H2O","EC",9434,0.785033477507729,0.345462087940592,1.21784305455394
"STER","H2O","GF",8687,1.07847916290056,0.488746389868643,3.3608358798154
"TALL","H2O","EC",870,1.04925626321284,0.424466312533639,1.95300151172692
"TALL","H2O","GF",630,0.845311587866039,0.583919147426626,1.53799209503029
"TEAK","H2O","EC",766,1.08793838657125,0.51209056621732,1.81604536816041
"TEAK","H2O","GF",796,0.264899899782758,0.0382360056175358,2.24923082199314
"TOOL","H2O","EC",2361,0.39179499705034,0.141055341984978,0.633950993897845
"TOOL","H2O","GF",1778,0.649732202338669,0.370233105986613,1.31523750681158
"TREE","H2O","EC",5780,1.11549994164365,0.351438787921,1.69403514273677
"TREE","H2O","GF",4735,1.09466693850291,0.705761677360165,1.53775370124047
"UKFS","H2O","EC",10487,1.42630682766004,0.522998296821733,2.06794298588015
"UKFS","H2O","GF",9616,0.85971287353231,0.487529656892101,1.28284092460227
"UNDE","H2O","EC",9822,0.917496083961327,0.255769113922728,1.53737118059698
"UNDE","H2O","GF",8982,0.689999890524807,0.407307504391552,0.965074990633572
"WOOD","H2O","EC",10643,0.942753841944953,0.283665550826133,1.51101385067832
"WOOD","H2O","GF",10251,1.24541802258867,0.469026530752504,2.3984126827574
"WREF","H2O","EC",415,0.989641029075631,0.535641252018043,1.53881922404205
"WREF","H2O","GF",355,0.562063267798097,0.195419933061577,1.43883159474875
"YELL","H2O","EC",442,0.366207604785401,0.180555226225367,0.7991271717795
"YELL","H2O","GF",570,0.314824900914384,0.133903698369789,1.10319179952171
